target_recall,threshold,actual_recall,precision,f1,model
0.3,0.9361983495539319,0.4166666666666667,0.025906735751295335,0.04878048780487805,LogisticRegression
0.35,0.9361983495539319,0.4166666666666667,0.025906735751295335,0.04878048780487805,LogisticRegression
0.4,0.9361983495539319,0.4166666666666667,0.025906735751295335,0.04878048780487805,LogisticRegression
0.45,0.9307279552312421,0.4722222222222222,0.025602409638554216,0.04857142857142857,LogisticRegression
0.5,0.9048418430423021,0.5555555555555556,0.021551724137931036,0.04149377593360996,LogisticRegression
0.55,0.9048418430423021,0.5555555555555556,0.021551724137931036,0.04149377593360996,LogisticRegression
0.6,0.854923972586922,0.6944444444444444,0.013440860215053764,0.026371308016877638,LogisticRegression
0.3,0.6920448884591596,0.4166666666666667,0.015384615384615385,0.02967359050445104,RandomForest
0.35,0.6920448884591596,0.4166666666666667,0.015384615384615385,0.02967359050445104,RandomForest
0.4,0.6920448884591596,0.4166666666666667,0.015384615384615385,0.02967359050445104,RandomForest
0.45,0.6542632204883934,0.4722222222222222,0.0148861646234676,0.028862478777589132,RandomForest
0.5,0.6302804349601497,0.5,0.013761467889908258,0.026785714285714284,RandomForest
0.55,0.5771076730666945,0.6666666666666666,0.013377926421404682,0.02622950819672131,RandomForest
0.6,0.5771076730666945,0.6666666666666666,0.013377926421404682,0.02622950819672131,RandomForest
0.3,0.1161859929561615,0.3611111111111111,0.019490254872563718,0.03698435277382646,XGBoost
0.35,0.1161859929561615,0.3611111111111111,0.019490254872563718,0.03698435277382646,XGBoost
0.4,0.07423526793718338,0.4166666666666667,0.016835016835016835,0.032362459546925564,XGBoost
0.45,0.024694273248314857,0.5555555555555556,0.01401541695865452,0.02734107997265892,XGBoost
0.5,0.024694273248314857,0.5555555555555556,0.01401541695865452,0.02734107997265892,XGBoost
0.55,0.024694273248314857,0.5555555555555556,0.01401541695865452,0.02734107997265892,XGBoost
0.6,0.010626220144331455,0.6111111111111112,0.011615628299894404,0.022797927461139896,XGBoost
0.3,1.0,0.7777777777777778,0.007929764939110734,0.01569946733950098,LightGBM
0.35,1.0,0.7777777777777778,0.007929764939110734,0.01569946733950098,LightGBM
0.4,1.0,0.7777777777777778,0.007929764939110734,0.01569946733950098,LightGBM
0.45,1.0,0.7777777777777778,0.007929764939110734,0.01569946733950098,LightGBM
0.5,1.0,0.7777777777777778,0.007929764939110734,0.01569946733950098,LightGBM
0.55,1.0,0.7777777777777778,0.007929764939110734,0.01569946733950098,LightGBM
0.6,1.0,0.7777777777777778,0.007929764939110734,0.01569946733950098,LightGBM
